Unnamed: 0,Title,Battery Size (kWh),Top Speed (km/h),Range (km),Efficiency (Wh/km),Fastcharge Speed (km/h), price ,price,price_cleaned,Cluster
0,Tesla Model 3,57.5,225,405.0,142.0,680.0," £42,990.00 ",42990.0,42990.0,0
1,Tesla Model Y Long Range Dual Motor,75.0,217,435.0,172.0,670.0," £52,990.00 ",52990.0,52990.0,0
2,Tesla Model 3 Long Range Dual Motor,75.0,233,485.0,155.0,750.0," £50,990.00 ",50990.0,50990.0,0
3,BYD ATTO 3,60.5,160,330.0,183.0,370.0," £37,195.00 ",37195.0,37195.0,0
4,Tesla Model 3,57.5,201,420.0,137.0,700.0," £44,000.00 ",44000.0,44000.0,0
5,Tesla Model Y,57.5,217,350.0,164.0,580.0," £44,990.00 ",44990.0,44990.0,0
6,Tesla Model 3 Long Range Dual Motor,75.0,201,505.0,149.0,780.0," £52,000.00 ",52000.0,52000.0,0
7,MG MG4 Electric 64 kWh,61.7,160,360.0,171.0,560.0," £29,495.00 ",29495.0,29495.0,0
8,Tesla Model 3 Performance,75.0,261,460.0,163.0,710.0," £57,990.00 ",57990.0,57990.0,0
9,BMW i4 eDrive40,80.7,190,515.0,157.0,800.0," £57,890.00 ",57890.0,57890.0,0
10,Tesla Model Y Performance,75.0,250,415.0,181.0,640.0," £59,990.00 ",59990.0,59990.0,0
11,Tesla Model S Plaid,95.0,282,560.0,170.0,780.0," £1,00,000.00 ",100000.0,100000.0,2
12,BMW iX1 xDrive30,64.7,180,370.0,175.0,530.0," £53,295.00 ",53295.0,53295.0,0
13,Smart #1,62.0,180,335.0,185.0,520.0," £35,950.00 ",35950.0,35950.0,0
14,Tesla Model S Dual Motor,95.0,250,575.0,165.0,800.0," £85,000.00 ",85000.0,85000.0,2
15,Renault Megane E-Tech EV60 220hp,60.0,160,380.0,158.0,530.0," £36,995.00 ",36995.0,36995.0,0
18,BMW iX xDrive40,71.0,200,360.0,197.0,480.0," £69,905.00 ",69905.0,69905.0,0
20,Volvo EX30 Single Motor ER,64.0,180,370.0,173.0,550.0," £38,545.00 ",38545.0,38545.0,0
21,Skoda Enyaq iV 80,77.0,160,440.0,175.0,680.0," £42,925.00 ",42925.0,42925.0,0
23,Kia Niro EV,64.8,167,385.0,168.0,390.0," £37,295.00 ",37295.0,37295.0,0
24,Mercedes EQS 450+,107.8,210,635.0,170.0,950.0," £1,05,610.00 ",105610.0,105610.0,2
26,Tesla Model 3 Long Range RWD,75.0,233,495.0,152.0,770.0," £46,990.00 ",46990.0,46990.0,0
27,Audi e-tron GT RS,85.0,250,405.0,210.0,1000.0," £1,19,000.00 ",119000.0,119000.0,2
29,Hyundai IONIQ 6 Long Range AWD,74.0,185,440.0,168.0,1150.0," £50,540.00 ",50540.0,50540.0,0
